id,number_of_suggestions,number_of_plans,number_of_accept,number_of_accept_2,mobile_plan
1274.0,3,1,4.0,1,DATASILVER
1275.0,4,2,0.0,0,Unknown
1281.0,5,4,3.0,2,"DATAGOLD, SOCIALMEDIAGOLD"
1282.0,4,3,1.0,1,SOCIALMEDIAGOLD
1283.0,1,1,0.0,0,Unknown
1284.0,4,4,3.0,2,"DATACALL, SOCIALMEDIA"
1286.0,3,2,0.0,0,Unknown
1287.0,1,1,0.0,0,Unknown
1294.0,8,5,0.0,0,Unknown
1299.0,4,3,1.0,1,DATACALL
1302.0,2,1,1.0,1,DATASILVER
1303.0,3,2,0.0,0,Unknown
1311.0,8,4,2.0,1,SOCIALMEDIA
1316.0,4,2,0.0,0,Unknown
1318.0,2,1,1.0,1,DATAGOLD
1319.0,4,2,1.0,1,DATACALL
1323.0,2,2,0.0,0,Unknown
1324.0,5,4,1.0,1,SOCIALMEDIAGOLD
1328.0,3,3,0.0,0,Unknown
1329.0,6,4,3.0,1,DATASILVER
1330.0,3,2,1.0,1,DATAGOLD
1333.0,5,3,0.0,0,Unknown
1335.0,2,2,1.0,1,DATASILVER
1337.0,2,2,0.0,0,Unknown
1338.0,2,2,0.0,0,Unknown
1339.0,5,4,0.0,0,Unknown
1340.0,2,2,1.0,1,DATACALL
1341.0,6,3,0.0,0,Unknown
1342.0,3,2,1.0,1,SOCIALMEDIA
1346.0,1,1,1.0,1,SOCIALMEDIAGOLD
1347.0,3,3,1.0,1,SOCIALMEDIAGOLD
1348.0,4,4,1.0,1,SOCIALMEDIA
1350.0,2,1,0.0,0,Unknown
1352.0,3,2,1.0,1,DATACALL
1353.0,5,2,0.0,0,Unknown
1354.0,3,2,0.0,0,Unknown
1355.0,1,1,1.0,1,SOCIALMEDIAGOLD
1356.0,1,1,0.0,0,Unknown
1358.0,2,1,0.0,0,Unknown
1360.0,4,3,2.0,1,SOCIALMEDIAGOLD
1362.0,3,2,1.0,1,SOCIALMEDIA
1365.0,2,2,0.0,0,Unknown
1366.0,5,4,3.0,2,"DATASILVER, SOCIALMEDIA"
1367.0,8,4,1.0,1,DATASILVER
1368.0,1,1,1.0,1,DATASILVER
1370.0,2,2,1.0,1,DATASILVER
1371.0,5,4,1.0,1,SOCIALMEDIA
1372.0,5,4,0.0,0,Unknown
1373.0,4,3,0.0,0,Unknown
1374.0,4,2,2.0,1,SOCIALMEDIAGOLD
1377.0,1,1,0.0,0,Unknown
1378.0,3,3,1.0,1,SOCIALMEDIAGOLD
1379.0,1,1,0.0,0,Unknown
1380.0,4,2,2.0,1,DATASILVER
1381.0,2,2,0.0,0,Unknown
1383.0,5,4,1.0,1,SOCIALMEDIA
1384.0,2,2,1.0,1,DATACALL
1386.0,1,1,0.0,0,Unknown
1387.0,3,2,0.0,0,Unknown
1388.0,3,3,0.0,0,Unknown
1393.0,3,2,2.0,1,SOCIALMEDIA
1395.0,1,1,1.0,1,DATAGOLD
1397.0,5,4,1.0,1,DATACALL
1398.0,2,1,0.0,0,Unknown
1400.0,4,3,1.0,1,SOCIALMEDIA
1401.0,2,2,1.0,1,DATACALL
1402.0,7,4,2.0,1,DATAGOLD
1404.0,5,3,0.0,0,Unknown
1405.0,1,1,1.0,1,DATASILVER
1407.0,2,1,1.0,1,SOCIALMEDIA
1409.0,5,5,0.0,0,Unknown
1410.0,5,3,2.0,1,DATAGOLD
1411.0,4,3,2.0,1,SOCIALMEDIA
1412.0,8,4,1.0,1,DATACALL
1413.0,3,2,0.0,0,Unknown
1414.0,3,3,2.0,2,"DATAGOLD, SOCIALMEDIAGOLD"
1417.0,5,5,0.0,0,Unknown
1419.0,7,4,3.0,2,"DATACALL, SOCIALMEDIA"
1420.0,2,2,0.0,0,Unknown
1421.0,5,4,0.0,0,Unknown
1423.0,2,2,0.0,0,Unknown
1424.0,4,3,0.0,0,Unknown
1427.0,6,4,1.0,1,SOCIALMEDIA
1428.0,7,4,1.0,1,DATAGOLD
1430.0,2,1,0.0,0,Unknown
1432.0,1,1,1.0,1,SOCIALMEDIA
1434.0,2,2,1.0,1,DATASILVER
1437.0,2,2,0.0,0,Unknown
1438.0,6,4,0.0,0,Unknown
1439.0,4,3,0.0,0,Unknown
1440.0,4,2,0.0,0,Unknown
1441.0,2,2,0.0,0,Unknown
1442.0,2,2,1.0,1,DATASILVER
1445.0,5,3,1.0,1,DATASILVER
1446.0,5,5,0.0,0,Unknown
1447.0,8,4,1.0,1,DATAGOLD
1448.0,4,3,0.0,0,Unknown
1449.0,6,5,1.0,1,SOCIALMEDIA
1450.0,7,4,1.0,1,SOCIALMEDIAGOLD
1452.0,3,2,1.0,1,DATAGOLD
1453.0,4,3,1.0,1,DATASILVER
1455.0,4,4,0.0,0,Unknown
1459.0,5,4,0.0,0,Unknown
1461.0,1,1,0.0,0,Unknown
1462.0,3,2,1.0,1,DATASILVER
1463.0,6,4,2.0,1,SOCIALMEDIA
1465.0,5,5,1.0,1,DATAGOLD
1466.0,5,5,1.0,1,DATAGOLD
1467.0,3,2,1.0,1,DATACALL
1468.0,3,3,0.0,0,Unknown
1469.0,5,2,0.0,0,Unknown
1471.0,2,2,1.0,1,SOCIALMEDIAGOLD
1472.0,5,4,0.0,0,Unknown
1473.0,6,4,2.0,1,SOCIALMEDIAGOLD
1475.0,5,3,0.0,0,Unknown
1478.0,2,2,0.0,0,Unknown
1480.0,5,4,0.0,0,Unknown
1481.0,4,3,1.0,1,SOCIALMEDIAGOLD
1483.0,7,4,0.0,0,Unknown
1484.0,5,4,0.0,0,Unknown
1486.0,4,3,0.0,0,Unknown
1487.0,3,3,0.0,0,Unknown
1488.0,2,2,1.0,1,DATASILVER
1492.0,1,1,1.0,1,SOCIALMEDIA
1493.0,4,3,0.0,0,Unknown
1494.0,5,3,0.0,0,Unknown
1498.0,2,1,1.0,1,DATASILVER
1499.0,3,3,0.0,0,Unknown
1500.0,2,1,0.0,0,Unknown
1501.0,4,3,1.0,1,DATAGOLD
1502.0,6,5,1.0,1,DATASILVER
1503.0,3,2,2.0,1,DATASILVER
1507.0,5,3,0.0,0,Unknown
1510.0,4,3,0.0,0,Unknown
1511.0,5,4,1.0,1,SOCIALMEDIAGOLD
1512.0,6,4,1.0,1,DATASILVER
1513.0,5,4,1.0,1,SOCIALMEDIAGOLD
1515.0,5,4,1.0,1,SOCIALMEDIAGOLD
1516.0,1,1,1.0,1,DATAGOLD
1517.0,3,2,2.0,1,DATASILVER
1520.0,3,3,1.0,1,DATASILVER
1522.0,5,4,1.0,1,DATASILVER
1523.0,2,2,0.0,0,Unknown
1524.0,3,2,1.0,1,SOCIALMEDIA
1525.0,2,2,1.0,1,SOCIALMEDIAGOLD
1526.0,2,1,0.0,0,Unknown
1529.0,4,4,1.0,1,DATAGOLD
1531.0,7,4,1.0,1,SOCIALMEDIA
1532.0,4,3,0.0,0,Unknown
1534.0,2,2,1.0,1,DATAGOLD
1535.0,5,4,1.0,1,DATASILVER
1539.0,4,3,1.0,1,SOCIALMEDIA
1540.0,8,4,0.0,0,Unknown
1541.0,2,2,0.0,0,Unknown
1542.0,1,1,0.0,0,Unknown
1543.0,3,2,1.0,1,SOCIALMEDIA
1544.0,2,2,0.0,0,Unknown
1545.0,4,3,0.0,0,Unknown
1546.0,3,2,0.0,0,Unknown
1550.0,4,3,0.0,0,Unknown
1553.0,3,1,2.0,1,SOCIALMEDIA
1556.0,3,3,1.0,1,DATACALL
1559.0,2,1,2.0,1,DATAGOLD
1560.0,4,4,1.0,1,SOCIALMEDIA
1562.0,3,2,0.0,0,Unknown
1563.0,5,3,0.0,0,Unknown
1564.0,2,2,0.0,0,Unknown
1566.0,2,2,0.0,0,Unknown
1570.0,1,1,0.0,0,Unknown
1573.0,3,2,2.0,2,"DATAGOLD, DATACALL"
1575.0,4,4,1.0,1,SOCIALMEDIAGOLD
1576.0,1,1,0.0,0,Unknown
1577.0,4,3,1.0,1,SOCIALMEDIA
1578.0,1,1,0.0,0,Unknown
1579.0,1,1,0.0,0,Unknown
1580.0,5,3,0.0,0,Unknown
1583.0,5,4,1.0,1,SOCIALMEDIA
1584.0,4,3,2.0,2,"SOCIALMEDIAGOLD, DATASILVER"
1585.0,3,3,0.0,0,Unknown
1587.0,3,3,0.0,0,Unknown
1588.0,5,3,0.0,0,Unknown
1589.0,3,2,0.0,0,Unknown
1590.0,2,2,1.0,1,DATASILVER
1591.0,1,1,0.0,0,Unknown
1592.0,1,1,0.0,0,Unknown
1593.0,5,4,0.0,0,Unknown
1594.0,2,1,2.0,1,SOCIALMEDIA
1595.0,2,2,0.0,0,Unknown
1598.0,3,3,1.0,1,DATASILVER
1600.0,4,4,1.0,1,DATASILVER
1602.0,6,3,0.0,0,Unknown
1605.0,5,4,1.0,1,SOCIALMEDIA
1606.0,3,3,0.0,0,Unknown
1611.0,1,1,0.0,0,Unknown
1612.0,5,5,1.0,1,DATASILVER
1613.0,6,4,1.0,1,DATASILVER
1614.0,5,4,2.0,1,DATASILVER
1616.0,3,3,0.0,0,Unknown
1618.0,6,3,4.0,2,"SOCIALMEDIA, DATAGOLD"
1619.0,7,4,2.0,1,DATAGOLD
1620.0,2,2,1.0,1,DATASILVER
1621.0,1,1,0.0,0,Unknown
1623.0,1,1,1.0,1,SOCIALMEDIAGOLD
1624.0,4,3,0.0,0,Unknown
1626.0,8,4,0.0,0,Unknown
1627.0,8,5,0.0,0,Unknown
1633.0,1,1,0.0,0,Unknown
1634.0,1,1,1.0,1,DATAGOLD
1635.0,4,3,1.0,1,DATASILVER
1636.0,2,2,1.0,1,SOCIALMEDIA
1637.0,1,1,1.0,1,DATASILVER
1639.0,4,4,1.0,1,DATASILVER
1641.0,2,1,2.0,1,SOCIALMEDIAGOLD
1643.0,4,4,3.0,3,"SOCIALMEDIA, DATASILVER, SOCIALMEDIAGOLD"
1646.0,6,4,1.0,1,SOCIALMEDIAGOLD
1647.0,1,1,0.0,0,Unknown
1648.0,2,2,1.0,1,SOCIALMEDIA
1649.0,6,3,0.0,0,Unknown
1650.0,6,4,0.0,0,Unknown
1651.0,1,1,1.0,1,DATACALL
1652.0,5,4,1.0,1,SOCIALMEDIAGOLD
1654.0,2,2,0.0,0,Unknown
1656.0,8,4,2.0,1,DATACALL
1658.0,4,4,1.0,1,SOCIALMEDIAGOLD
1659.0,6,3,0.0,0,Unknown
1660.0,2,2,0.0,0,Unknown
1661.0,3,3,0.0,0,Unknown
1662.0,2,1,0.0,0,Unknown
1663.0,5,4,0.0,0,Unknown
1664.0,1,1,1.0,1,DATACALL
1665.0,2,1,1.0,1,SOCIALMEDIA
1666.0,6,4,0.0,0,Unknown
1668.0,6,4,2.0,2,"SOCIALMEDIA, DATACALL"
1669.0,7,4,2.0,2,"DATASILVER, SOCIALMEDIA"
1670.0,2,2,0.0,0,Unknown
1671.0,6,4,5.0,2,"SOCIALMEDIAGOLD, SOCIALMEDIA"
1674.0,2,1,0.0,0,Unknown
1675.0,2,2,0.0,0,Unknown
1678.0,2,1,1.0,1,SOCIALMEDIAGOLD
1679.0,4,2,0.0,0,Unknown
1681.0,3,3,0.0,0,Unknown
1682.0,2,2,1.0,1,DATASILVER
1683.0,3,3,1.0,1,DATASILVER
1684.0,1,1,0.0,0,Unknown
1685.0,4,3,1.0,1,SOCIALMEDIAGOLD
1686.0,5,4,0.0,0,Unknown
1687.0,6,4,0.0,0,Unknown
1688.0,3,2,1.0,1,DATAGOLD
1689.0,5,4,0.0,0,Unknown
1692.0,3,2,1.0,1,DATASILVER
1694.0,6,4,1.0,1,SOCIALMEDIA
1696.0,1,1,1.0,1,DATASILVER
1700.0,6,5,1.0,1,DATACALL
1703.0,7,4,0.0,0,Unknown
1704.0,7,4,0.0,0,Unknown
1705.0,3,3,1.0,1,DATAGOLD
1707.0,4,3,1.0,1,SOCIALMEDIA
1708.0,1,1,0.0,0,Unknown
1709.0,2,2,0.0,0,Unknown
1711.0,4,1,0.0,0,Unknown
1712.0,4,3,0.0,0,Unknown
1714.0,4,3,1.0,1,DATASILVER
1715.0,6,5,1.0,1,DATACALL
1716.0,2,2,0.0,0,Unknown
1717.0,7,5,1.0,1,SOCIALMEDIA
1718.0,3,1,0.0,0,Unknown
1719.0,5,4,2.0,1,DATASILVER
1720.0,4,3,1.0,1,SOCIALMEDIAGOLD
1721.0,2,2,0.0,0,Unknown
1722.0,4,3,0.0,0,Unknown
1723.0,3,3,0.0,0,Unknown
1724.0,2,2,1.0,1,DATASILVER
1726.0,2,2,1.0,1,DATASILVER
1730.0,3,3,1.0,1,SOCIALMEDIAGOLD
1732.0,1,1,1.0,1,SOCIALMEDIAGOLD
1734.0,1,1,0.0,0,Unknown
1737.0,2,1,0.0,0,Unknown
1739.0,3,1,2.0,1,SOCIALMEDIA
1741.0,5,4,0.0,0,Unknown
1742.0,1,1,1.0,1,SOCIALMEDIA
1743.0,2,2,0.0,0,Unknown
1744.0,4,3,0.0,0,Unknown
1746.0,1,1,0.0,0,Unknown
1747.0,2,2,1.0,1,SOCIALMEDIA
1748.0,2,2,0.0,0,Unknown
1751.0,3,2,1.0,1,SOCIALMEDIAGOLD
1753.0,1,1,0.0,0,Unknown
1754.0,1,1,0.0,0,Unknown
1755.0,5,3,1.0,1,SOCIALMEDIA
1758.0,6,3,1.0,1,SOCIALMEDIAGOLD
1759.0,1,1,0.0,0,Unknown
1762.0,5,4,0.0,0,Unknown
1763.0,6,3,0.0,0,Unknown
1765.0,2,2,2.0,2,"DATACALL, DATASILVER"
1766.0,5,4,0.0,0,Unknown
1768.0,1,1,1.0,1,DATASILVER
1769.0,4,3,0.0,0,Unknown
1770.0,4,4,0.0,0,Unknown
1771.0,4,3,1.0,1,DATASILVER
1772.0,3,1,4.0,1,SOCIALMEDIA
1773.0,2,2,0.0,0,Unknown
1774.0,4,3,1.0,1,SOCIALMEDIA
1775.0,3,3,0.0,0,Unknown
1777.0,5,4,1.0,1,DATASILVER
1778.0,4,4,1.0,1,SOCIALMEDIA
1779.0,2,2,0.0,0,Unknown
1780.0,3,2,0.0,0,Unknown
1781.0,5,3,1.0,1,DATASILVER
1782.0,5,5,2.0,2,"SOCIALMEDIA, DATASILVER"
1785.0,7,4,2.0,2,"SOCIALMEDIA, DATAGOLD"
1786.0,6,4,2.0,2,"DATACALL, SOCIALMEDIA"
1787.0,1,1,0.0,0,Unknown
1790.0,1,1,0.0,0,Unknown
1792.0,7,3,0.0,0,Unknown
1793.0,1,1,0.0,0,Unknown
1794.0,4,2,0.0,0,Unknown
1797.0,3,2,0.0,0,Unknown
1798.0,3,2,1.0,1,DATAGOLD
1799.0,3,2,0.0,0,Unknown
1802.0,2,2,1.0,1,DATACALL
1803.0,3,3,1.0,1,DATASILVER
1806.0,5,4,1.0,1,SOCIALMEDIA
1807.0,3,3,1.0,1,SOCIALMEDIAGOLD
1808.0,5,4,0.0,0,Unknown
1809.0,2,2,1.0,1,SOCIALMEDIAGOLD
1810.0,4,3,0.0,0,Unknown
1811.0,1,1,0.0,0,Unknown
1812.0,3,2,1.0,1,DATACALL
1813.0,4,1,2.0,1,DATASILVER
1814.0,3,3,0.0,0,Unknown
1817.0,2,2,1.0,1,SOCIALMEDIA
1820.0,3,2,0.0,0,Unknown
1821.0,7,4,1.0,1,DATASILVER
1823.0,3,2,4.0,2,"SOCIALMEDIAGOLD, DATAGOLD"
1824.0,1,1,1.0,1,DATASILVER
1825.0,4,2,0.0,0,Unknown
1826.0,4,4,1.0,1,SOCIALMEDIA
1828.0,3,3,3.0,1,DATACALL
1830.0,4,3,2.0,1,SOCIALMEDIA
1831.0,3,2,0.0,0,Unknown
1833.0,4,2,1.0,1,SOCIALMEDIAGOLD
1836.0,5,4,1.0,1,DATASILVER
1838.0,2,2,0.0,0,Unknown
1839.0,4,2,0.0,0,Unknown
1841.0,3,3,0.0,0,Unknown
1842.0,8,4,0.0,0,Unknown
1843.0,1,1,1.0,1,DATASILVER
1844.0,3,2,0.0,0,Unknown
1845.0,3,2,1.0,1,DATASILVER
1846.0,2,2,1.0,1,SOCIALMEDIAGOLD
1847.0,5,3,0.0,0,Unknown
1848.0,3,2,0.0,0,Unknown
1849.0,3,2,0.0,0,Unknown
1851.0,3,3,1.0,1,DATASILVER
1852.0,3,3,0.0,0,Unknown
1855.0,2,2,2.0,2,"SOCIALMEDIA, DATACALL"
1857.0,4,3,1.0,1,DATACALL
1859.0,7,4,1.0,1,SOCIALMEDIA
1861.0,4,3,2.0,1,DATACALL
1862.0,2,1,0.0,0,Unknown
1863.0,6,4,1.0,1,SOCIALMEDIAGOLD
1864.0,3,2,0.0,0,Unknown
1865.0,2,1,1.0,1,DATASILVER
1866.0,4,3,0.0,0,Unknown
1869.0,1,1,0.0,0,Unknown
1870.0,1,1,1.0,1,SOCIALMEDIA
1871.0,2,2,1.0,1,DATASILVER
1872.0,1,1,0.0,0,Unknown
1873.0,3,2,0.0,0,Unknown
1874.0,3,3,0.0,0,Unknown
1875.0,4,3,1.0,1,DATAGOLD
1876.0,2,2,0.0,0,Unknown
1879.0,6,4,0.0,0,Unknown
1880.0,5,4,0.0,0,Unknown
1881.0,3,3,1.0,1,DATAGOLD
1885.0,5,5,1.0,1,DATASILVER
1886.0,3,3,0.0,0,Unknown
1887.0,4,2,1.0,1,DATASILVER
1888.0,1,1,1.0,1,DATASILVER
1891.0,4,1,0.0,0,Unknown
1892.0,5,3,0.0,0,Unknown
1893.0,4,1,1.0,1,SOCIALMEDIAGOLD
1895.0,1,1,0.0,0,Unknown
1897.0,5,5,1.0,1,SOCIALMEDIA
1899.0,3,2,1.0,1,DATASILVER
1900.0,7,4,0.0,0,Unknown
1902.0,4,4,1.0,1,DATACALL
1904.0,5,4,0.0,0,Unknown
1905.0,1,1,1.0,1,SOCIALMEDIAGOLD
1907.0,3,2,1.0,1,SOCIALMEDIAGOLD
1911.0,5,4,3.0,2,"SOCIALMEDIAGOLD, DATASILVER"
1912.0,5,3,0.0,0,Unknown
1914.0,1,1,0.0,0,Unknown
1916.0,7,4,2.0,2,"SOCIALMEDIAGOLD, DATAGOLD"
1918.0,1,1,1.0,1,DATACALL
1919.0,6,4,0.0,0,Unknown
1921.0,6,4,1.0,1,DATAGOLD
1922.0,4,3,0.0,0,Unknown
1924.0,7,4,5.0,2,"DATACALL, SOCIALMEDIAGOLD"
1926.0,1,1,1.0,1,SOCIALMEDIAGOLD
1927.0,6,3,1.0,1,DATASILVER
1929.0,4,2,2.0,2,"SOCIALMEDIA, SOCIALMEDIAGOLD"
1931.0,1,1,1.0,1,DATASILVER
1932.0,1,1,0.0,0,Unknown
1933.0,2,2,1.0,1,DATASILVER
1934.0,5,4,0.0,0,Unknown
1935.0,5,4,0.0,0,Unknown
1936.0,5,3,0.0,0,Unknown
1937.0,4,3,0.0,0,Unknown
1939.0,1,1,0.0,0,Unknown
1940.0,2,2,1.0,1,SOCIALMEDIA
1941.0,2,2,1.0,1,SOCIALMEDIAGOLD
1942.0,4,4,0.0,0,Unknown
1944.0,1,1,1.0,1,DATASILVER
1945.0,6,4,2.0,2,"DATACALL, SOCIALMEDIA"
1947.0,3,3,1.0,1,DATASILVER
1950.0,2,2,0.0,0,Unknown
1951.0,5,2,0.0,0,Unknown
1952.0,2,2,0.0,0,Unknown
1953.0,5,5,0.0,0,Unknown
1954.0,3,2,1.0,1,SOCIALMEDIAGOLD
1955.0,2,2,0.0,0,Unknown
1956.0,1,1,0.0,0,Unknown
1957.0,1,1,0.0,0,Unknown
1960.0,2,2,0.0,0,Unknown
1961.0,6,4,0.0,0,Unknown
1963.0,6,4,0.0,0,Unknown
1964.0,1,1,0.0,0,Unknown
1966.0,6,4,0.0,0,Unknown
1968.0,3,3,1.0,1,SOCIALMEDIA
1969.0,4,3,0.0,0,Unknown
1972.0,4,3,0.0,0,Unknown
1973.0,3,2,1.0,1,SOCIALMEDIA
1976.0,5,4,3.0,2,"DATAGOLD, DATACALL"
1979.0,6,4,1.0,1,DATASILVER
1980.0,3,2,1.0,1,DATACALL
1982.0,1,1,0.0,0,Unknown
1983.0,5,4,1.0,1,SOCIALMEDIAGOLD
1984.0,3,2,0.0,0,Unknown
1985.0,3,2,1.0,1,SOCIALMEDIAGOLD
1988.0,4,2,1.0,1,DATACALL
1990.0,5,4,0.0,0,Unknown
1991.0,7,5,0.0,0,Unknown
1995.0,1,1,1.0,1,DATACALL
1998.0,6,3,0.0,0,Unknown
1999.0,3,3,0.0,0,Unknown
2001.0,4,3,0.0,0,Unknown
2007.0,2,2,0.0,0,Unknown
